1, Loc1, indisponibil, 40.0
19, Loc7, indisponibil, 10.0
19, Loc8, indisponibil, 20.0
19, Loc9, indisponibil, 10.0
20, Loc1, disponibil, 60.0
20, Loc2, indisponibil, 70.0
20, Loc3, disponibil, 60.0
20, Loc4, indisponibil, 40.0
20, Loc5, disponibil, 50.0
20, Loc6, disponibil, 40.0
20, Loc7, indisponibil, 30.0
20, Loc8, disponibil, 40.0
20, Loc9, disponibil, 30.0
21, Loc1, disponibil, 50.0
21, Loc2, disponibil, 60.0
21, Loc3, disponibil, 50.0
21, Loc4, disponibil, 30.0
21, Loc5, disponibil, 40.0
21, Loc6, disponibil, 30.0
21, Loc7, disponibil, 20.0
21, Loc8, disponibil, 30.0
21, Loc9, disponibil, 20.0
22, Loc1, disponibil, 45.0
22, Loc2, disponibil, 55.0
22, Loc3, indisponibil, 45.0
22, Loc4, disponibil, 25.0
22, Loc5, disponibil, 35.0
22, Loc6, disponibil, 25.0
22, Loc7, disponibil, 15.0
22, Loc8, indisponibil, 25.0
22, Loc9, disponibil, 15.0
23, Loc1, disponibil, 65.0
23, Loc2, indisponibil, 75.0
23, Loc3, disponibil, 65.0
23, Loc4, indisponibil, 45.0
23, Loc5, indisponibil, 55.0
23, Loc6, disponibil, 45.0
23, Loc7, indisponibil, 35.0
23, Loc8, indisponibil, 45.0
23, Loc9, disponibil, 35.0
24, Loc1, indisponibil, 55.0
24, Loc2, indisponibil, 65.0
24, Loc3, indisponibil, 55.0
24, Loc4, indisponibil, 35.0
24, Loc5, indisponibil, 45.0
24, Loc6, indisponibil, 35.0
24, Loc7, indisponibil, 25.0
24, Loc8, indisponibil, 35.0
24, Loc9, indisponibil, 25.0
25, Loc1, indisponibil, 40.0
25, Loc2, indisponibil, 50.0
25, Loc3, indisponibil, 40.0
25, Loc4, disponibil, 20.0
25, Loc5, disponibil, 30.0
25, Loc6, disponibil, 20.0
25, Loc7, disponibil, 10.0
25, Loc8, disponibil, 20.0
25, Loc9, disponibil, 10.0
26, Loc1, indisponibil, 60.0
26, Loc2, indisponibil, 70.0
26, Loc3, indisponibil, 60.0
26, Loc4, disponibil, 40.0
26, Loc5, disponibil, 50.0
26, Loc6, disponibil, 40.0
26, Loc7, indisponibil, 30.0
26, Loc8, indisponibil, 40.0
26, Loc9, indisponibil, 30.0
27, Loc1, disponibil, 50.0
27, Loc2, indisponibil, 60.0
27, Loc3, disponibil, 50.0
27, Loc4, disponibil, 30.0
27, Loc5, disponibil, 40.0
27, Loc6, indisponibil, 30.0
27, Loc7, disponibil, 20.0
27, Loc8, indisponibil, 30.0
27, Loc9, disponibil, 20.0
28, Loc1, indisponibil, 40.0
28, Loc2, indisponibil, 50.0
28, Loc3, indisponibil, 40.0
28, Loc4, indisponibil, 20.0
28, Loc5, indisponibil, 30.0
28, Loc6, indisponibil, 20.0
28, Loc7, disponibil, 10.0
28, Loc8, disponibil, 20.0
28, Loc9, disponibil, 10.0
29, Loc1, indisponibil, 60.0
29, Loc2, disponibil, 70.0
29, Loc3, indisponibil, 60.0
29, Loc4, indisponibil, 40.0
29, Loc5, disponibil, 50.0
29, Loc6, disponibil, 40.0
29, Loc7, disponibil, 30.0
29, Loc8, indisponibil, 40.0
29, Loc9, disponibil, 30.0
30, Loc1, disponibil, 50.0
30, Loc2, indisponibil, 60.0
30, Loc3, disponibil, 50.0
30, Loc4, indisponibil, 30.0
30, Loc5, indisponibil, 40.0
30, Loc6, disponibil, 30.0
30, Loc7, disponibil, 20.0
30, Loc8, indisponibil, 30.0
30, Loc9, disponibil, 20.0
31, Loc1, disponibil, 50.0
31, Loc2, disponibil, 60.0
31, Loc3, disponibil, 50.0
31, Loc4, disponibil, 30.0
31, Loc5, disponibil, 40.0
31, Loc6, disponibil, 30.0
31, Loc7, disponibil, 20.0
31, Loc8, disponibil, 30.0
31, Loc9, disponibil, 20.0
32, Loc1, disponibil, 50.0
32, Loc2, indisponibil, 60.0
32, Loc3, disponibil, 50.0
32, Loc4, disponibil, 30.0
32, Loc5, indisponibil, 40.0
32, Loc6, indisponibil, 30.0
32, Loc7, indisponibil, 20.0
32, Loc8, indisponibil, 30.0
32, Loc9, disponibil, 20.0
33, Loc1, disponibil, 50.0
33, Loc2, disponibil, 60.0
33, Loc3, disponibil, 50.0
33, Loc4, disponibil, 30.0
33, Loc5, disponibil, 40.0
33, Loc6, disponibil, 30.0
33, Loc7, disponibil, 20.0
33, Loc8, disponibil, 30.0
33, Loc9, disponibil, 20.0
34, Loc1, indisponibil, 50.0
34, Loc2, disponibil, 60.0
34, Loc3, indisponibil, 50.0
34, Loc4, disponibil, 30.0
34, Loc5, disponibil, 40.0
34, Loc6, indisponibil, 30.0
34, Loc7, disponibil, 20.0
34, Loc8, disponibil, 30.0
34, Loc9, indisponibil, 20.0
35, Loc1, disponibil, 50.0
35, Loc2, disponibil, 60.0
35, Loc3, indisponibil, 50.0
35, Loc4, disponibil, 30.0
35, Loc5, disponibil, 40.0
35, Loc6, disponibil, 30.0
35, Loc7, indisponibil, 20.0
35, Loc8, indisponibil, 30.0
35, Loc9, disponibil, 20.0
36, Loc1, indisponibil, 50.0
36, Loc2, disponibil, 60.0
36, Loc3, indisponibil, 50.0
36, Loc4, disponibil, 30.0
36, Loc5, indisponibil, 40.0
36, Loc6, disponibil, 30.0
36, Loc7, indisponibil, 20.0
36, Loc8, disponibil, 30.0
36, Loc9, indisponibil, 20.0
